Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type
Staples Canada,Business Services Analyst - Business Insights & Intelligence,"Richmond Hill, ON",2 months ago,Hybrid,Full-time,
University of Notre Dame,Postdoctoral Research Fellow Position: Health Equity Data Lab,"Notre Dame, NB",1 day ago,On-site,Full-time,Mid-Senior Level
Canadian Tire Corporation,"Data Analyst Student, Customer Analytics (4 months) - Winter 2025","Oakville, ON",11 hours ago,Hybrid,Full-time,Mid-Senior Level
"Varsity Tutors, a Nerdy Company",Remote Business Statistics Tutor,"Kitchener, ON",Reposted 5 days ago,Remote,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",5 hours ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Manitoba, Canada",2 weeks ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Winkler, MB",5 hours ago,Remote,Part-time,Entry Level
AstraZeneca,Senior Statistician,"Mississauga, ON",Reposted 4 days ago,,Full-time,Associate
Magna International,"Analyst, HR Systems (6-Month Contract)","Aurora, ON",4 days ago,Hybrid,,Mid-Senior Level
Campus4Tech,Are You A Recruiter Looking To Transition Your Career To Become Data Analyst,Canada,6 days ago,Remote,Full-time,Associate
Compunnel Inc.,Information Risk Management Analyst II,"Ontario, Canada",1 hour ago,Remote,,Mid-Senior Level
Colliers,Business Analyst - Data Science and BI,"Toronto, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level
Condair USA/CA,"Data Analyst, Sales","Ottawa, ON",Reposted 6 days ago,On-site,Full-time,Associate
Aston Carter,Franchise Data Analyst,"Toronto, ON",3 hours ago,Hybrid,,Entry Level
Canadian Tire Corporation,"Data Science Student, Credit Risk Analytics (4 months) - Winter 2025","Oakville, ON",13 hours ago,Hybrid,Full-time,
"Varsity Tutors, a Nerdy Company",Remote Business Statistics Tutor,"Montreal, QC",Reposted 5 days ago,Remote,Full-time,Entry Level
Outlier,Work from Home - AI Math Analyst,"Richmond Hill, ON",3 days ago,Remote,Full-time,
Outlier,Work from Home - AI Math Analyst,"Cambridge, ON",3 days ago,Remote,Full-time,Mid-Senior Level
Agoda,"Data Analyst (Bangkok Based, relocation provided)","Toronto, ON",Reposted 6 days ago,,Full-time,Associate
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",2 weeks ago,Remote,Part-time,Entry Level
Tribute Technology,Data Analyst II,"Kingston, ON",1 month ago,Remote,Full-time,Mid-Senior Level
Applicantz,Data Analyst,"Montreal, QC",2 weeks ago,Hybrid,,
Mutual of Omaha Mortgage,Insights Analyst,NAMER,5 days ago,Remote,Full-time,Mid-Senior Level
Walmart Canada,(CAN) Senior Data Analyst - Marketplace,"Mississauga, ON",Reposted 2 weeks ago,On-site,Full-time,Mid-Senior Level
IQVIA,"Consultant associé, Services de conseil et d’analyse / Associate Consultant, Consulting & Analytics Services","Mississauga, ON",Reposted 5 days ago,On-site,Full-time,Mid-Senior Level
Super.com,Customer Communication and Insights Analyst ( Remote! ),"Toronto, ON",1 week ago,Remote,Full-time,
Constructor,Data Analyst: Prospect Solutions (Remote),"Montreal, QC",4 months ago,Remote,Full-time,
Campus4Tech,"As A Retail Store Manager, Are You Considering Pivoting Your Career To Data Analyst",Canada,6 days ago,Remote,Full-time,Mid-Senior Level
Aston Carter,Franchise Data Analyst,"Toronto, ON",3 hours ago,Hybrid,,Entry Level
Compunnel Inc.,Data Analyst IV,"Toronto, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level
TD,Senior Quantitative Analytics Analyst,"Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
Tim Hortons,"Sr. Analyst, Digital Analytics, Tim Hortons, Canada","Toronto, ON",4 days ago,On-site,Full-time,
Trellis Society,Data Analyst,"Calgary, AB",2 weeks ago,On-site,Full-time,Entry Level
theScore,"Data Analyst, Marketing","Toronto, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level
Sobeys,Retail Insights Data Specialist,"Stellarton, NS",1 week ago,Hybrid,Full-time,Mid-Senior Level
Sanofi,Statistician,"Toronto, ON",Reposted 1 week ago,,Full-time,Mid-Senior Level
Campus4Tech,Are You A Risk Manager Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Mid-Senior Level
Photon,Data Analyst,"Toronto, ON",19 hours ago,On-site,Full-time,Entry Level
The University of British Columbia,Business Intelligence Specialist,Greater Vancouver Metropolitan Area,9 hours ago,On-site,Full-time,Entry Level
Altea Healthcare,SQL Data Analyst,"Burnaby, BC",6 days ago,On-site,Full-time,
Conestoga College,Senior Business Data Analyst,"Kitchener, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
Lumerate,Senior Data Analyst,"Toronto, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level
CBC/Radio-Canada,"Senior Business Analyst, Data Analytics (T & I) (Telework/Hybrid)","Montreal, QC",1 day ago,Hybrid,Full-time,Mid-Senior Level
