Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
AstraZeneca,Senior Statistician,"Mississauga, ON",Reposted 1 week ago,,Full-time,Associate,2024-11-02 14:19:19.110720
OpenText,"Analyst-Workplace Solutions, Space Management(AutoCAD\ Power BI)","Richmond Hill, ON",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110726
Motorola Solutions,Marketing and Inside Sales Data Analyst,Canada,5 days ago,Remote,Full-time,Mid-Senior Level,2024-11-04 14:19:19.110731
Canadian Nuclear Laboratories,Data Analyst,"Port Hope, ON",4 months ago,Remote,Full-time,,2024-07-12 14:19:19.110735
Allstate Canada,Claims Intelligence Senior Insights Analyst,"Markham, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110739
Westlake Pipe & Fittings,Power BI Reporting Specialist - Contract 12 Months,"Woodbridge, ON",Reposted 1 hour ago,On-site,Full-time,Entry Level,2024-11-09 13:19:19.110748
IQVIA,"Consultant, Services de conseil et d’analyse / Consultant, Consulting & Analytics Services","Mississauga, ON",Reposted 5 days ago,On-site,Full-time,,2024-11-04 14:19:19.110752
Sobeys,"Analyst Business Intelligence, Contract","Edmonton, AB",4 days ago,Hybrid,,Entry Level,2024-11-05 14:19:19.110755
OpenText,"Analyst-Workplace Solutions, Space Management(AutoCAD\ Power BI)","Waterloo, ON",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110762
Campus4Tech,Are You A Program Administrator Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Associate,2024-11-06 14:19:19.110768
Beatdapp,Data Analyst and Labeller,"Vancouver, BC",1 day ago,Hybrid,Full-time,Entry Level,2024-11-08 14:19:19.110772
HOOPP (Healthcare of Ontario Pension Plan),"Sr. Analyst, Data Science and Analytics Solutions (12–15-month contract)","Toronto, ON",2 weeks ago,Hybrid,Full-time,,2024-10-26 14:19:19.110775
Peroptyx,Data Analyst (0 Experience Required),Canada,3 hours ago,Remote,,Entry Level,2024-11-09 11:19:19.110779
