Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Surrey, BC",3 months ago,On-site,Full-time,Mid-Senior Level,2024-08-11 14:19:19.114712
Baycrest,Senior Biostatistician,"Toronto, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.114719
Croix Bleue du Québec,Analyste de données en intelligence d'affaires,"Montreal, QC",Reposted 3 weeks ago,Remote,Full-time,,2024-10-19 14:19:19.114727
Canadian Armed Forces | Forces armées canadiennes,Intelligence Officer,"Oromocto, NB",Reposted 3 weeks ago,,Full-time,Mid-Senior Level,2024-10-19 14:19:19.114736
Ubisoft,Analyste de Données Senior,"Montreal, QC",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.114744
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Delta, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114752
Ubisoft,"Analyste Senior, Live Analytics","Montreal, QC",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.114759
Altea Healthcare,Senior Data Analyst,"Burnaby, BC",1 week ago,On-site,Full-time,Associate,2024-11-02 14:19:19.114767
BrokerLink,Senior Analytics Consultant,"Calgary, AB",Reposted 1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114775
Northeastern University,Part-Time Lecturer – Applied Machine Intelligence (Vancouver),"Vancouver, BC",1 year ago,On-site,Part-time,Entry Level,2023-11-10 14:19:19.114783
Université du Québec en Outaouais,24-07-039 Agente ou agent de recherche à l'analyse des données institutionnelles au Rectorat,"Gatineau, QC",1 week ago,On-site,Full-time,,2024-11-02 14:19:19.114791
Emmes,Senior Biostatistician,"Vancouver, BC",1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.114799
Provincial Health Services Authority,Research - Senior Methodologist - BC Cancer Research Institute - Vancouver,"Vancouver, BC",4 months ago,Hybrid,Full-time,Mid-Senior Level,2024-07-12 14:19:19.114808
Desjardins,Analyste en valorisation de données - FR,"Montreal, QC",19 hours ago,Hybrid,Full-time,Mid-Senior Level,2024-11-08 19:19:19.114819
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"West Vancouver, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114827
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"New Westminster, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114835
tsworks,Lead Data Analyst / Power BI,"Vancouver, BC",1 month ago,Hybrid,Full-time,,2024-10-10 14:19:19.114842
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Richmond, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114850
Fraser Health Authority,"Evaluation Analyst, Mental Health & Substance Use Services (MH&SUS)","New Westminster, BC",1 month ago,On-site,Full-time,Entry Level,2024-10-10 14:19:19.114857
Benchmark Recruitment,Senior Technical Analyst - BI Developer,"Richmond, BC",1 month ago,Hybrid,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114865
Syneos Health,Infirmier.ère analyste de données de sécurité,Greater Quebec City Metropolitan Area,3 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-19 14:19:19.114872
Benchmark Recruitment,"Seniorr Digital Analyst, Web Analytics & Paid Media","Vancouver, BC",2 weeks ago,Hybrid,,Mid-Senior Level,2024-10-26 14:19:19.114881
Humankind Global Recruitment,Research & Consumer Insights Senior Specialist (1 Year Contract),"Halifax, NS",5 days ago,Hybrid,,Mid-Senior Level,2024-11-04 14:19:19.114889
Pharmascience,Expert Analyst,"Candiac, QC",3 weeks ago,On-site,Full-time,,2024-10-19 14:19:19.114897
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Surrey, BC",3 months ago,On-site,Full-time,Mid-Senior Level,2024-08-11 14:19:19.114905
Baycrest,Senior Biostatistician,"Toronto, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.114912
Croix Bleue du Québec,Analyste de données en intelligence d'affaires,"Montreal, QC",Reposted 3 weeks ago,Remote,Full-time,,2024-10-19 14:19:19.114920
Canadian Armed Forces | Forces armées canadiennes,Intelligence Officer,"Oromocto, NB",Reposted 3 weeks ago,,Full-time,Mid-Senior Level,2024-10-19 14:19:19.114929
Ubisoft,Analyste de Données Senior,"Montreal, QC",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.114938
Vancouver Airport Authority,Senior Technical Analyst – Business Intelligence Developer,"Delta, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114945
Ubisoft,"Analyste Senior, Live Analytics","Montreal, QC",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.114953
Altea Healthcare,Senior Data Analyst,"Burnaby, BC",1 week ago,On-site,Full-time,Associate,2024-11-02 14:19:19.114961
BrokerLink,Senior Analytics Consultant,"Calgary, AB",Reposted 1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.114970
Northeastern University,Part-Time Lecturer – Applied Machine Intelligence (Vancouver),"Vancouver, BC",1 year ago,On-site,Part-time,Entry Level,2023-11-10 14:19:19.114978
Université du Québec en Outaouais,24-07-039 Agente ou agent de recherche à l'analyse des données institutionnelles au Rectorat,"Gatineau, QC",1 week ago,On-site,Full-time,,2024-11-02 14:19:19.114986
Emmes,Senior Biostatistician,"Vancouver, BC",1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.114994
Provincial Health Services Authority,Research - Senior Methodologist - BC Cancer Research Institute - Vancouver,"Vancouver, BC",4 months ago,Hybrid,Full-time,Mid-Senior Level,2024-07-12 14:19:19.115002
Northeastern University,Part-Time Lecturer – Applied Machine Intelligence (Vancouver),"Vancouver, BC",1 year ago,On-site,Part-time,Entry Level,2023-11-10 14:19:19.115010
Université du Québec en Outaouais,24-07-039 Agente ou agent de recherche à l'analyse des données institutionnelles au Rectorat,"Gatineau, QC",1 week ago,On-site,Full-time,,2024-11-02 14:19:19.115018
Emmes,Senior Biostatistician,"Vancouver, BC",1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.115026
Provincial Health Services Authority,Research - Senior Methodologist - BC Cancer Research Institute - Vancouver,"Vancouver, BC",4 months ago,Hybrid,Full-time,Mid-Senior Level,2024-07-12 14:19:19.115035
